t_years,star_x,star_y,star_z,planet_x,planet_y,planet_z,moon_x,moon_y,moon_z,moon_rel_x,moon_rel_y,moon_rel_z,planet_rel_x,planet_rel_y,planet_rel_z,moon_planet_dist,planet_star_dist,star_vx,star_vy,star_vz,planet_vx,planet_vy,planet_vz,moon_vx,moon_vy,moon_vz,moon_speed,planet_speed,star_speed
0.25915,-2.4003228054955797e-06,-3.5368293705962424e-06,0.0,0.16783291050382543,0.2493739570734763,0.0,0.16937146226085686,0.24971280053960726,0.0,0.0015385517570314367,0.0003388434661309725,0.0,0.16783531082663092,0.2493774939028469,0.0,0.0015754226111123874,0.30059578510939944,9.908573111138506e-05,-6.664420835899338e-05,0.0,-6.9860436086257,4.700589266025632,0.0,-7.060136931093312,5.077439105537579,0.0,8.696316539560295,8.420234245524014,0.00011941286621497125
0.2592,-2.395366187549121e-06,-3.540158106575431e-06,0.0,0.16748344432377807,0.24960874182012116,0.0,0.1690181661727539,0.2499664132721824,0.0,0.001534721848975823,0.00035767145206122564,0.0,0.1674858396899656,0.24961228197822774,0.0,0.001575848984307619,0.30059573817842317,9.917898674695765e-05,-6.65052308085371e-05,0.0,-6.992603593268779,4.6908005997688464,0.0,-7.071706593025478,5.067070197467368,0.0,8.699668644488824,8.420220619401086,0.00011941280139520215
0.25925000000000004,-2.3904049116900385e-06,-3.543479890414768e-06,0.0,0.16713365048732187,0.249843036908844,0.0,0.1686642920022355,0.250219505913803,0.0,0.0015306415149136388,0.0003764690049589958,0.0,0.16713604089223355,0.24984658038873442,0.0,0.0015762589758259698,0.3005956917473614,9.927204761635373e-05,-6.636612276495442e-05,0.0,-6.999149864979033,4.681002949143449,0.0,-7.08326022770935,5.0566354673566565,0.0,8.702995903893003,8.420207090227988,0.00011941273671094136
0.25930000000000003,-2.385438987661205e-06,-3.546794715596422e-06,0.0,0.16678352968038127,0.2500768418909248,0.0,0.1683098405623085,0.2504720751693316,0.0,0.0015263108819272286,0.00039523327840684797,0.0,0.16678591511936894,0.25008038868564036,0.0,0.0015766528637115083,0.30059564582236764,9.936491353698398e-05,-6.622688450120378e-05,0.0,-7.005682412645162,4.6711963340871065,0.0,-7.094797369371342,5.046134753788064,0.0,8.70629804600246,8.420193659200159,0.00011941267216232995
0.25935,-2.3804684252146145e-06,-3.550102575616214e-06,0.0,0.16643308258943493,0.25031015631864106,0.0,0.1679548126894285,0.25072411773551206,0.0,0.001521730099993568,0.0004139614168710004,0.0,0.16643546305786014,0.2503137064212167,0.0,0.001577030929273196,0.30059560040960576,9.945758432664144e-05,-6.60875162904995e-05,0.0,-7.012201225207784,4.661380774563415,0.0,-7.1063175458285315,5.03556789343053,0.0,8.709574792806984,8.420180327539011,0.00011941260774950872
0.2594,-2.375493234111361e-06,-3.553403463983634e-06,0.0,0.1660823099015132,0.2505429797452692,0.0,0.1675992092438253,0.2509756303008773,0.0,0.0015168993423120836,0.00043265055560809396,0.0,0.16608468539474733,0.25054653314873315,0.0,0.0015773934569329314,0.30059555551524947,9.955005980350183e-05,-6.594801840631117e-05,0.0,-7.018706291660209,4.651556290561312,0.0,-7.117820278299329,5.024934721179334,0.0,8.712825859976933,8.420167096492273,0.00011941254347261827
0.25945,-2.37051342412162e-06,-3.556697374221851e-06,0.0,0.16573121230419546,0.25077531172508555,0.0,0.16724303110983743,0.2512266095456643,0.0,0.001511818805641968,0.00045129782057873324,0.0,0.16573358281761957,0.2507788684224598,0.0,0.0015777407340725601,0.30059551114548294,9.964233978612387e-05,-6.580839112236317e-05,0.0,-7.025197601049205,4.641722902094486,0.0,-7.129305081215032,5.014235070301024,0.0,8.716050956785141,8.420153967334324,0.00011941247933179886
0.2595,-2.3655290050246306e-06,-3.5599842998677257e-06,0.0,0.16537979048560733,0.2510071518133679,0.0,0.16688627919625626,0.25147705214173643,0.0,0.0015064887106489289,0.00046990032836852214,0.0,0.16538215601461237,0.25101071179766776,0.0,0.0015780730508799384,0.3005954673065005,9.973442409344972e-05,-6.566863471263408e-05,0.0,-7.03167514247577,4.631880629200751,0.0,-7.140771462032308,5.003468772583339,0.0,8.719249786030428,8.420140941366526,0.00011941241532719056
0.25955,-2.360539986608674e-06,-3.563264234471825e-06,0.0,0.16502804513441804,0.25123849956639643,0.0,0.16652895443667928,0.2517269547525133,0.0,0.0015009093022612385,0.0004884551861168429,0.0,0.16503040567440466,0.2512420628306309,0.0,0.001578390700193953,0.30059542400450684,9.982631254480525e-05,-6.552874945135617e-05,0.0,-7.038138905095884,4.622029491941411,0.0,-7.152218921046699,4.992635658490219,0.0,8.722422043962702,8.42012801991754,0.00011941235145893307
0.2596,-2.3555463786710564e-06,-3.5665371715984346e-06,0.0,0.16467597693983763,0.25146935454145497,0.0,0.16617105778987293,0.25197631403290854,0.0,0.0014950808500353019,0.0005069594914535736,0.0,0.1646783324862163,0.25147292107862657,0.0,0.0015786939773487281,0.300595381245717,9.991800495990044e-05,-6.538873561301488e-05,0.0,-7.0445888781212735,4.6121695104006,0.0,-7.1636469512071885,4.981735557321991,0.0,8.725567420209776,8.420115204343634,0.00011941228772716588
